Index;IsIncluded;Filename;StartTime;StopTime;Chapter
144;FALSE;Bashar - The Year of Guardianship  2of4.mp3;;;
145;FALSE;Bashar - The Year of Guardianship  3of4.mp3;;;
146;FALSE;Bashar - The Year of Guardianship  4of4.mp3;;;
147;FALSE;Bashar - Changing Your Life  1of3.mp3;;;
148;FALSE;Bashar - Changing Your Life  2of3.mp3;;;
149;FALSE;Bashar - Changing Your Life  3of3.mp3;;;
150;FALSE;Bashar - Being the Experience (Monologue).aac;;;
151;FALSE;Bashar - Seeing What You Already Have (Monologue).aac;;;
152;FALSE;Bashar - Bones of God (Monologue).aac;;;
153;FALSE;Bashar - Remembering Who You Are  1of4.mp3;;;
154;FALSE;Bashar - Remembering Who You Are  2of4.mp3;;;
155;FALSE;Bashar - Remembering Who You Are  3of4.mp3;;;
156;FALSE;Bashar - Remembering Who You Are  4of4.mp3;;;
157;FALSE;Bashar - Life Is but a Dream  1of3.mp3;;;
158;FALSE;Bashar - Life Is but a Dream  2of3.mp3;;;
159;FALSE;Bashar - Life Is but a Dream  3of3.mp3;;;
160;FALSE;Bashar - Life is but a Dream (Monologue).aac;;;
161;FALSE;Bashar - Crop Circle Symposium  1of3.mp3;;;
162;FALSE;Bashar - Crop Circle Symposium  2of3.mp3;;;
163;FALSE;Bashar - Crop Circle Symposium  3of3.mp3;;;
164;FALSE;Bashar - The Eye of the Needle (Monologue).aac;;;
165;FALSE;Bashar - The Acceleration of 1997  1of3.mp3;;;
166;FALSE;Bashar - The Acceleration of 1997  2of3.mp3;;;
167;FALSE;Bashar - The Acceleration of 1997  3of3.mp3;;;
168;FALSE;Bashar - Hammer of Fea (Monologue).aac;;;
169;FALSE;Bashar - Star Conference Fundamentals.mp3;;;
170;FALSE;Bashar - Friday the 13th (Monologue).aac;;;
171;FALSE;Bashar - Achieving Perfect Health.mp3;;;
172;FALSE;Bashar - Thats The Spirit  1of3.mp3;;;
173;FALSE;Bashar - Thats The Spirit  2of3.mp3;;;
174;FALSE;Bashar - Thats The Spirit  3of3.mp3;;;
175;FALSE;Bashar - Fundamentals.mp3;;;
176;FALSE;Bashar - Fundamentals.mp3;;;
177;FALSE;Bashar - Star Conference  1of4.mp3;;;
178;FALSE;Bashar - Star Conference  2of4.mp3;;;
179;FALSE;Bashar - Star Conference  3of4.mp3;;;
180;FALSE;Bashar - Star Conference  4of4.mp3;;;
181;FALSE;Bashar - The Creative Tap  1of4.mp3;;;
182;FALSE;Bashar - The Creative Tap  2of4.mp3;;;
183;FALSE;Bashar - The Creative Tap  3of4.mp3;;;
184;FALSE;Bashar - The Creative Tap  4of4.mp3;;;
185;FALSE;Bashar - The Council Of Nine Codex  1of3.mp3;;;
186;FALSE;Bashar - The Council Of Nine Codex  2of3.mp3;;;
187;FALSE;Bashar - The Council Of Nine Codex  3of3.mp3;;;
188;FALSE;Bashar - Making Choices  1of4.mp3;;;
189;FALSE;Bashar - Making Choices  2of4.mp3;;;
190;FALSE;Bashar - Making Choices  3of4.mp3;;;
191;FALSE;Bashar - Making Choices  4of4.mp3;;;
192;FALSE;Bashar - Making Choices (Monologue).aac;;;
193;FALSE;Bashar - Chakras And Cycles Of Growth  1of3.mp3;;;
194;FALSE;Bashar - Chakras And Cycles Of Growth  2of3.mp3;;;
195;FALSE;Bashar - Chakras And Cycles Of Growth  3of3.mp3;;;
196;FALSE;Bashar - The Observer  1of4.mp3;;;
197;FALSE;Bashar - The Observer  2of4.mp3;;;
198;FALSE;Bashar - The Observer  3of4.mp3;;;
199;FALSE;Bashar - The Observer  4of4.mp3;;;
200;FALSE;Bashar - The Wizard's Hat  1of4.mp3;;;
201;FALSE;Bashar - The Wizard's Hat  2of4.mp3;;;
202;FALSE;Bashar - The Wizard's Hat  3of4.mp3;;;
203;FALSE;Bashar - The Wizard's Hat  4of4.mp3;;;
204;FALSE;Bashar - Is There A Santa Clause.mp3;;;
205;FALSE;Bashar - Mothers of the Hybrid Children (Monologue).aac;;;
206;FALSE;Bashar - Secrets  1of4.mp3;;;
207;FALSE;Bashar - Secrets  2of4.mp3;;;
208;FALSE;Bashar - Secrets  3of4.mp3;;;
209;FALSE;Bashar - Secrets  4of4.mp3;;;
210;FALSE;Bashar - Animals And Extinction  1of5.mp3;;;
211;FALSE;Bashar - Animals And Extinction  2of5.mp3;;;
212;FALSE;Bashar - Animals And Extinction  3of5.mp3;;;
213;FALSE;Bashar - Animals And Extinction  4of5.mp3;;;
214;FALSE;Bashar - Animals And Extinction  5of5.mp3;;;
215;FALSE;Bashar - Top Secret.mp3;;;
216;FALSE;Bashar - Re-creating Yourself  1of4.mp3;;;
217;FALSE;Bashar - Re-creating Yourself  2of4.mp3;;;
218;FALSE;Bashar - Re-creating Yourself  3of3.mp3;;;
219;FALSE;Bashar - Re-creating Yourself  4of4.mp3;;;
220;FALSE;Bashar - Opening Floodgates of Creativity  1of3.mp3;;;
221;FALSE;Bashar - Opening Floodgates of Creativity  2of3.mp3;;;
222;FALSE;Bashar - Opening Floodgates of Creativity  3of3.mp3;;;
223;FALSE;Bashar - Opening Floodgates of Creativity (Monologue).aac;;;
224;FALSE;Bashar - Preparer of the Way.mp3;;;
225;FALSE;Bashar - Valentine's Day  1of3.mp3;;;
226;FALSE;Bashar - Valentine's Day  2of3.mp3;;;
227;FALSE;Bashar - Valentine's Day  3of3.mp3;;;
228;FALSE;Bashar - A Message from the Greys  1of3.mp3;;;
229;FALSE;Bashar - A Message from the Greys  2of3.mp3;;;
230;FALSE;Bashar - A Message from the Greys  3of3.mp3;;;
231;FALSE;Bashar - The Men in Black.mp3;;;
232;FALSE;Bashar - The Oyster and Polarity of the Pearl  1of4.mp3;;;
233;FALSE;Bashar - The Oyster and Polarity of the Pearl  2of4.mp3;;;
234;FALSE;Bashar - The Oyster and Polarity of the Pearl  3of4.mp3;;;
235;FALSE;Bashar - The Oyster and Polarity of the Pearl  4of4.mp3;;;
236;FALSE;Bashar - The Oyster and Polarity of the Pearl (Monologue).aac;;;
237;FALSE;Bashar - A Sudden Observable Shift  1of4.mp3;;;
238;FALSE;Bashar - A Sudden Observable Shift  2of4.mp3;;;
239;FALSE;Bashar - A Sudden Observable Shift  3of4.mp3;;;
240;FALSE;Bashar - A Sudden Observable Shift  4of4.mp3;;;
241;FALSE;Bashar - The Nature of Physical Reality  1of5.mp3;;;
242;FALSE;Bashar - The Nature of Physical Reality  2of5.mp3;;;
243;FALSE;Bashar - The Nature of Physical Reality  3of5.mp3;;;
244;FALSE;Bashar - The Nature of Physical Reality  4of5.mp3;;;
245;FALSE;Bashar - The Nature of Physical Reality  5of5.mp3;;;
246;FALSE;Bashar - The Ides of March 1997  1of4.mp3;;;
247;FALSE;Bashar - The Ides of March 1997  2of4.mp3;;;
248;FALSE;Bashar - The Ides of March 1997  3of4.mp3;;;
249;FALSE;Bashar - The Ides of March 1997  4of4.mp3;;;
250;FALSE;Bashar - The Art of Channeling  1of6.mp3;;;
251;FALSE;Bashar - The Art of Channeling  2of6.mp3;;;
252;FALSE;Bashar - The Art of Channeling  3of6.mp3;;;
253;FALSE;Bashar - The Art of Channeling  4of6.mp3;;;
